#{"t_start": 1748423865.3595319, "env_id": "None"}
r,l,t
583624.344572,8000,213.01229
592731.122847,8000,387.785601
545804.902885,8000,536.060673
304226.887594,5172,625.778391
300772.888579,4565,716.600441
539905.752514,8000,864.470637
548847.492833,8000,1004.138805
566096.258176,8000,1146.361916
593315.643502,8000,1295.281983
585430.259149,8000,1447.263447
573541.498708,8000,1598.053262
587833.869904,8000,1739.148581
558252.008737,8000,1889.090618
