#{"t_start": 1748423941.7279925, "env_id": "None"}
r,l,t
608229.476639,8000,136.64583
593039.773878,8000,311.41714
551950.879457,8000,459.692212
408229.817379,7006,595.599164
312144.087966,4291,666.749691
544399.289653,8000,814.498992
540865.647042,8000,963.395898
584318.220242,8000,1096.897011
584725.447566,8000,1245.473319
583906.046639,8000,1397.292584
575223.212721,8000,1548.858487
581846.563999,8000,1704.605109
555301.372655,8000,1839.412821
