#{"t_start": 1748423917.0313902, "env_id": "None"}
r,l,t
595309.22471,8000,161.341431
585034.739286,8000,336.113743
547010.512427,8000,484.388814
522263.673582,8000,637.903823
408558.281814,6626,750.724869
563062.229981,8000,899.557351
561781.401066,8000,1042.071046
580371.458112,8000,1190.179676
571926.349758,8000,1335.408793
578706.237526,8000,1475.859722
597687.159289,8000,1634.233235
566980.593845,8000,1783.382686
