#{"t_start": 1748423927.757932, "env_id": "None"}
r,l,t
608250.341872,8000,150.61489
592257.858655,8000,325.387201
538371.247395,8000,473.662272
251135.439471,4137,545.674583
542608.285066,8000,696.998579
539207.415637,8000,845.222869
562343.93099,8000,987.915253
562173.017612,8000,1135.11995
603900.507235,8000,1275.368012
576274.398183,8000,1421.455185
590845.811565,8000,1579.802396
572392.886096,8000,1729.106677
