#{"t_start": 1748423872.1852167, "env_id": "None"}
r,l,t
604576.726235,8000,206.188606
590338.656536,8000,380.959916
547104.171976,8000,529.231475
531214.400637,8000,682.749996
354489.022516,5355,770.89597
542595.539368,8000,918.979377
553376.201166,8000,1068.661254
576035.328291,8000,1209.123712
583801.212186,8000,1348.901765
575075.050068,8000,1501.999224
567811.866924,8000,1654.244088
556755.178095,8000,1810.048024
