#{"t_start": 1748423889.2058048, "env_id": "None"}
r,l,t
592783.542829,8000,189.167017
565842.83662,8000,363.939328
555522.036328,8000,512.2144
512674.33728,8000,665.729408
277738.512664,4076,735.283025
543817.611006,8000,883.452397
550199.283386,8000,1026.135877
577893.040834,8000,1173.342341
597957.096232,8000,1307.194664
579940.1451,8000,1459.709885
596680.677691,8000,1618.088817
557914.047093,8000,1767.348804
