#{"t_start": 1748423848.2030632, "env_id": "None"}
r,l,t
600627.189148,8000,230.169758
601048.027276,8000,404.94207
545142.179824,8000,553.217141
527971.209888,8000,706.73215
335345.022358,4858,786.071885
552473.092138,8000,934.010139
556380.082059,8000,1083.792408
573544.345601,8000,1224.541926
587003.423566,8000,1364.560289
563239.399887,8000,1517.377978
596321.525189,8000,1669.17682
583683.792981,8000,1824.672616
