#{"t_start": 1748423938.2566836, "env_id": "None"}
r,l,t
599540.572809,8000,140.117139
594811.415143,8000,314.888449
556343.281688,8000,463.163521
388039.327145,6760,597.751045
301661.873885,4322,669.267379
528798.475623,8000,816.993986
549514.196403,8000,959.261022
572879.279786,8000,1099.259693
594265.231134,8000,1247.946162
567160.359251,8000,1393.297682
579767.440789,8000,1551.224416
566283.156396,8000,1700.542691
561610.430372,8000,1841.771729
