#{"t_start": 1748423834.4851892, "env_id": "None"}
r,l,t
597862.193248,8000,243.886633
588233.618457,8000,418.659944
558549.197118,8000,566.931503
519850.596836,8000,720.450024
553516.589819,8000,858.37908
550231.962191,8000,1001.090758
565017.681667,8000,1149.93965
582302.911831,8000,1291.927992
601728.613044,8000,1444.199733
571755.240757,8000,1584.774682
569865.017932,8000,1735.926182
567213.912233,8000,1891.532301
