#{"t_start": 1748423868.7134342, "env_id": "None"}
r,l,t
584311.215044,8000,209.658388
595286.20979,8000,384.431699
554431.209959,8000,532.70677
388720.013218,6342,658.557842
290437.411704,3991,729.0305
551861.291889,8000,870.235657
559656.493707,8000,1018.884172
562715.351906,8000,1152.44393
606929.87255,8000,1301.016068
581355.858612,8000,1453.096381
582336.499506,8000,1604.06793
581830.281569,8000,1760.551333
548978.637565,8000,1901.289131
