#{"t_start": 1748423934.7265098, "env_id": "None"}
r,l,t
602024.123774,8000,143.645312
594383.219676,8000,318.418623
546121.324806,8000,466.693695
393991.703272,6531,593.553215
524480.037625,8000,732.586011
557158.558974,8000,875.254052
553705.674638,8000,1023.820074
582728.01583,8000,1172.031385
599175.443187,8000,1317.210598
581085.506181,8000,1457.671494
590766.323425,8000,1616.075835
576851.203017,8000,1765.215927
